ft,km,transmission,oem,model,modelYear,price,Insurance Validity,Color,Displacement,Turbo Charger,Super Charger,Location,RTO_grouped
Petrol,96567.0,Manual,Maruti,Maruti Swift Dzire,2013,447000.0,Comprehensive,Blue,1197.0,False,False,Bangalore,Karnataka
Diesel,83007.0,Manual,Maruti,Maruti Ertiga,2014,786000.0,Comprehensive,White,1248.0,True,False,Bangalore,Karnataka
Petrol,34000.0,Manual,Honda,Honda Jazz,2018,745000.0,Comprehensive,Other,1199.0,False,False,Bangalore,Karnataka
Petrol,81634.0,Automatic,Hyundai,Hyundai Grand i10,2014,490000.00000000006,Comprehensive,White,1197.0,False,False,Bangalore,Karnataka
Petrol,57284.0,Automatic,Honda,Honda City,2017,942000.0,Comprehensive,Brown,1497.0,False,False,Bangalore,Karnataka
Petrol,70000.0,Automatic,Ford,Ford Ecosport,2016,675000.0,Third Party,Silver,1499.0,False,False,Bangalore,Karnataka
Petrol,70000.0,Manual,Honda,Honda Brio,2013,330000.0,Third Party,Red,1198.0,False,False,Bangalore,Karnataka
Petrol,17624.0,Manual,Maruti,Maruti Baleno,2017,869000.0,Comprehensive,White,1197.0,False,False,Bangalore,Karnataka
Diesel,100000.0,Manual,Volkswagen,Volkswagen Vento,2012,425000.0,Third Party,Blue,1598.0,True,False,Bangalore,Karnataka
Petrol,30000.0,Manual,Honda,Honda City,2019,1070000.0,Third Party,Other,1497.0,False,False,Bangalore,Unknown
Petrol,49690.0,Manual,Ford,Ford Ecosport,2018,1025000.0,Third Party,Blue,1496.0,False,False,Bangalore,Karnataka
Diesel,110000.0,Manual,Mahindra,Mahindra XUV500,2016,1000000.0,Third Party,White,2179.0,True,False,Bangalore,Karnataka
Petrol,55702.0,Automatic,Ford,Ford Ecosport,2018,844000.0,Comprehensive,Silver,1497.0,False,False,Bangalore,Karnataka
Petrol,53000.0,Manual,Maruti,Maruti Ritz,2014,420000.0,Third Party,Silver,1197.0,False,False,Bangalore,Karnataka
Diesel,94695.0,Manual,Maruti,Maruti Baleno,2016,684000.0,Third Party,Red,1248.0,True,False,Bangalore,Karnataka
Petrol,22162.0,Manual,Maruti,Maruti Baleno,2019,802999.9999999999,Zero Dep,Silver,1197.0,False,False,Bangalore,Karnataka
Petrol,70000.0,Manual,Hyundai,Hyundai Santro Xing,2010,320000.0,Third Party,Other,1086.0,False,False,Bangalore,Karnataka
Diesel,115331.0,Manual,Honda,Honda City,2017,803999.9999999999,Comprehensive,Silver,1498.0,True,False,Bangalore,Karnataka
Petrol,42233.0,Manual,Maruti,Maruti Swift,2016,548000.0,Comprehensive,White,1197.0,False,False,Bangalore,Karnataka
Petrol,20941.0,Manual,Hyundai,Hyundai Grand i10,2019,619000.0,Comprehensive,Other,1197.0,False,False,Bangalore,Karnataka
Diesel,50000.0,Manual,Maruti,Maruti Vitara Brezza,2018,1000000.0,Third Party,Red,1248.0,True,False,Bangalore,Karnataka
Petrol,46602.0,Manual,Honda,Honda WR-V,2018,865000.0,Comprehensive,Brown,1199.0,False,False,Bangalore,Karnataka
Diesel,104000.0,Manual,Maruti,Maruti Swift,2014,535000.0,Comprehensive,Red,1248.0,True,False,Bangalore,Karnataka
Diesel,90000.0,Manual,Ford,Ford Ecosport,2018,975000.0,Comprehensive,Brown,1498.0,True,False,Bangalore,Karnataka
Petrol,50035.0,Manual,Maruti,Maruti Baleno,2017,699000.0,Third Party,Blue,1197.0,False,False,Bangalore,Karnataka
Petrol,80000.0,Manual,Tata,Tata Nexon,2021,1150000.0,Third Party,Gray,1199.0,True,False,Bangalore,Unknown
Petrol,90000.0,Manual,Hyundai,Hyundai i20,2015,625000.0,Comprehensive,Other,1197.0,False,False,Bangalore,Karnataka
Petrol,25170.0,Manual,Maruti,Maruti Swift Dzire,2015,675000.0,Third Party,Blue,1197.0,False,False,Bangalore,Karnataka
Petrol,25022.0,Manual,Maruti,Maruti Ciaz,2021,893000.0,Comprehensive,Other,1462.0,False,False,Bangalore,Karnataka
Diesel,100000.0,Manual,Maruti,Maruti Swift,2012,420000.0,Third Party,Other,1248.0,True,False,Bangalore,Karnataka
Petrol,26367.0,Manual,Maruti,Maruti Ciaz,2020,941000.0,Zero Dep,Other,1462.0,False,False,Bangalore,Karnataka
Diesel,120000.0,Manual,Toyota,Toyota Innova,2013,1275000.0,Third Party,Other,2494.0,True,False,Bangalore,Unknown
Petrol,36459.0,Automatic,Hyundai,Hyundai Grand i10,2015,525000.0,Comprehensive,Red,1197.0,False,False,Bangalore,Karnataka
Petrol,115599.0,Automatic,Maruti,Maruti Ciaz,2016,632000.0,Comprehensive,Silver,1373.0,False,False,Bangalore,Karnataka
Petrol,43469.0,Manual,Maruti,Maruti Swift Dzire,2015,645000.0,Zero Dep,Red,1197.0,False,False,Bangalore,Karnataka
Diesel,100000.0,Manual,Maruti,Maruti Vitara Brezza,2018,850000.0,Comprehensive,Red,1248.0,True,False,Bangalore,Karnataka
Petrol,40771.0,Manual,Volkswagen,Volkswagen Polo,2021,999000.0,Third Party,Silver,999.0,True,False,Bangalore,Karnataka
Petrol,28000.0,Manual,Honda,Honda Jazz,2018,825000.0,Comprehensive,Silver,1199.0,False,False,Bangalore,Karnataka
Petrol,40000.0,Manual,Maruti,Maruti Wagon R,2008,250000.0,Comprehensive,Silver,1061.0,False,False,Bangalore,Karnataka
Petrol,26000.0,Automatic,Hyundai,Hyundai Venue,2020,1295000.0,Comprehensive,White,998.0,True,False,Bangalore,Karnataka
Petrol,76032.0,Manual,Maruti,Maruti Wagon R,2012,329000.0,Comprehensive,Silver,998.0,False,False,Bangalore,Karnataka
Petrol,113780.0,Manual,Maruti,Maruti Ciaz,2018,666000.0,Comprehensive,Blue,1462.0,False,False,Bangalore,Karnataka
Diesel,65812.0,Manual,Hyundai,Hyundai Venue,2020,1026000.0,Third Party,White,1493.0,True,False,Bangalore,Karnataka
Petrol,39959.0,Manual,Maruti,Maruti Baleno,2016,681000.0,Zero Dep,Orange,1197.0,False,False,Bangalore,Karnataka
Petrol,65484.0,Manual,Maruti,Maruti Alto K10,2016,318000.0,Third Party,Other,998.0,False,False,Bangalore,Karnataka
Petrol,49174.0,Manual,Maruti,Maruti Baleno,2017,688000.0,Comprehensive,Red,1197.0,False,False,Bangalore,Karnataka
Petrol,50000.0,Manual,Hyundai,Hyundai i10,2009,265000.0,Third Party,Other,1197.0,False,False,Bangalore,Karnataka
Petrol,40000.0,Automatic,Maruti,Maruti Swift Dzire,2018,645000.0,Third Party,Other,1197.0,False,False,Bangalore,Karnataka
Petrol,80000.0,Manual,Maruti,Maruti Swift,2020,620000.0,Third Party,Other,1197.0,False,False,Bangalore,Unknown
Petrol,40000.0,Manual,Renault,Renault KWID,2020,415000.00000000006,Third Party,Blue,999.0,False,False,Bangalore,Karnataka
Petrol,63797.0,Manual,Honda,Honda Jazz,2016,610000.0,Comprehensive,Brown,1199.0,False,False,Bangalore,Karnataka
Petrol,60216.0,Manual,Hyundai,Hyundai Grand i10,2018,560000.0,Comprehensive,Red,1197.0,False,False,Bangalore,Karnataka
Petrol,10000.0,Automatic,Maruti,Maruti Alto K10,2015,425000.0,Third Party,Other,998.0,False,False,Bangalore,Karnataka
Petrol,38153.0,Manual,Maruti,Maruti Baleno,2016,686000.0,Comprehensive,Silver,1197.0,False,False,Bangalore,Karnataka
Petrol,76485.0,Manual,Maruti,Maruti Swift,2015,517000.0,Comprehensive,Silver,1197.0,False,False,Bangalore,Karnataka
Petrol,40000.0,Manual,Maruti,Maruti Wagon R,2015,385000.0,Third Party,Other,998.0,False,False,Bangalore,Unknown
Petrol,40623.0,Manual,Maruti,Maruti Baleno,2016,675000.0,Comprehensive,Blue,1197.0,False,False,Bangalore,Karnataka
Diesel,18000.0,Automatic,Mercedes-Benz,Mercedes-Benz C-Class,2018,3300000.0,Third Party,Red,2143.0,True,False,Bangalore,Unknown
Petrol,88051.0,Manual,Maruti,Maruti Swift,2014,499000.0,Third Party,Red,1197.0,False,False,Bangalore,Karnataka
Petrol,16522.0,Manual,Maruti,Maruti Swift,2022,774000.0,Third Party,Other,1197.0,False,False,Bangalore,Karnataka
Diesel,70000.0,Manual,Jeep,Jeep Compass,2019,1475000.0,Third Party,Other,1956.0,True,False,Bangalore,Karnataka
Petrol,80000.0,Manual,Maruti,Maruti Wagon R,2008,240000.0,Third Party,Other,1061.0,False,False,Bangalore,Unknown
Diesel,50000.0,Manual,Hyundai,Hyundai Venue,2019,1025000.0,Third Party,Other,1396.0,False,False,Bangalore,Unknown
Petrol,10000.0,Manual,Tata,Tata Nexon,2023,1400000.0,Third Party,Other,1199.0,False,False,Bangalore,Karnataka
Petrol,57000.0,Manual,Hyundai,Hyundai EON,2013,285000.0,Third Party,Silver,814.0,False,False,Bangalore,Karnataka
Diesel,110000.0,Manual,Mahindra,Mahindra XUV500,2016,1000000.0,Third Party,Other,2179.0,True,False,Bangalore,Unknown
Petrol,10000.0,Manual,Maruti,Maruti Baleno,2019,780000.0,Third Party,Red,1197.0,False,False,Bangalore,Karnataka
Petrol,50000.0,Manual,Maruti,Maruti Swift,2012,475000.0,Third Party,Other,1197.0,False,False,Bangalore,Karnataka
Petrol,35469.0,Manual,Hyundai,Hyundai Grand i10,2014,555000.0,Comprehensive,Gray,1197.0,False,False,Bangalore,Karnataka
Petrol,40073.0,Manual,Honda,Honda Jazz,2017,607000.0,Third Party,Other,1199.0,False,False,Bangalore,Karnataka
Petrol,65730.0,Manual,Hyundai,Hyundai Grand i10,2017,513999.99999999994,Third Party,Red,1197.0,False,False,Bangalore,Karnataka
Petrol,120000.0,Manual,Maruti,Maruti Baleno,2005,250000.0,Third Party,Silver,1590.0,False,False,Bangalore,Karnataka
Petrol,36184.0,Manual,Maruti,Maruti Baleno,2016,705000.0,Third Party,Silver,1197.0,False,False,Bangalore,Karnataka
Petrol,69310.0,Manual,Maruti,Maruti Baleno,2016,653000.0,Comprehensive,White,1197.0,False,False,Bangalore,Karnataka
Petrol,55643.0,Automatic,Honda,Honda City,2015,872000.0000000001,Third Party,White,1497.0,False,False,Bangalore,Karnataka
Petrol,62803.0,Automatic,Hyundai,Hyundai Grand i10,2017,564000.0,Third Party,Red,1197.0,False,False,Bangalore,Karnataka
Diesel,90000.0,Manual,Volkswagen,Volkswagen Polo,2011,370000.0,Third Party,Other,1199.0,False,False,Bangalore,Karnataka
Petrol,68656.0,Manual,Maruti,Maruti Swift,2015,550000.0,Third Party,Silver,1197.0,False,False,Bangalore,Karnataka
